Episode, avg_return, max_return, min_return
1, 9.2, 10.0, 8.0
101, 9.6, 11.0, 8.0
201, 9.65, 11.0, 9.0
301, 11.0, 13.0, 9.0
401, 12.85, 17.0, 11.0
501, 60.35, 74.0, 51.0
601, 111.9, 122.0, 100.0
701, 128.15, 146.0, 117.0
801, 294.2, 500.0, 124.0
901, 250.95, 362.0, 217.0
1001, 321.15, 491.0, 219.0
1101, 176.45, 198.0, 162.0
1201, 152.65, 159.0, 147.0
1301, 144.0, 158.0, 136.0
1401, 121.1, 127.0, 115.0
1501, 124.7, 134.0, 116.0
1601, 114.05, 119.0, 109.0
1701, 108.05, 114.0, 101.0
1801, 108.85, 118.0, 103.0
1901, 102.15, 107.0, 95.0
2001, 99.75, 111.0, 91.0
2101, 93.9, 109.0, 24.0
2201, 84.3, 106.0, 23.0
2301, 105.15, 114.0, 97.0
2401, 109.2, 118.0, 103.0
2501, 108.9, 117.0, 102.0
2601, 124.8, 134.0, 116.0
2701, 117.3, 127.0, 111.0
2801, 155.0, 168.0, 140.0
2901, 167.3, 184.0, 138.0
3001, 170.75, 194.0, 138.0
3101, 168.35, 217.0, 78.0
3201, 176.0, 188.0, 161.0
3301, 178.4, 194.0, 157.0
3401, 186.05, 201.0, 175.0
3501, 183.65, 197.0, 173.0
3601, 198.25, 211.0, 189.0
3701, 199.75, 213.0, 186.0
3801, 270.4, 337.0, 247.0
3901, 286.75, 316.0, 260.0
4001, 395.8, 479.0, 333.0
