Episode, avg_return, max_return, min_return
1, -1480.421382250817, -1363.1537466162138, -1568.3536400649423
101, -1370.5579469007228, -1049.188453636236, -1670.6782392908963
201, -1512.5453758687001, -1286.5877013292059, -1593.1254742573574
301, -1436.5225903110381, -1333.5075040700035, -1575.1324418615047
401, -1259.4073501338112, -973.883765939706, -1541.7338852546877
501, -1229.0589704332456, -987.0120380212613, -1556.200826722723
601, -1048.2291278268835, -1.2951049029662975, -1516.2085086675725
701, -839.6238649110289, -0.7616535150822151, -1463.7650674764066
801, -920.5063202831363, -4.533388924770899, -1498.1323136182916
901, -361.2016569028558, -1.0339603383998963, -1505.6092262219609
1001, -366.28355969099164, -0.9532024555516979, -1496.316487251614
1101, -186.3515730851801, -0.8423616898105296, -458.08948459379167
1201, -398.23677963991094, -128.81892777401842, -1493.866069375907
1301, -174.97444075038504, -1.0289408833725315, -463.7104694707882
1401, -125.22008325585834, -0.8913003216854617, -368.7327958636919
1501, -170.88685643589167, -1.1437163024328307, -407.05147720329694
1601, -168.95895325727804, -1.3276322726054237, -389.98979130360567
1701, -183.362586626259, -0.7557848589430055, -338.21251614932476
1801, -142.09748548117105, -1.5016513809445384, -393.3194343103925
1901, -134.14794622841015, -0.9632259213556752, -339.58611874388197
2001, -134.20176976567095, -2.9947968654294135, -252.69511370900034
2101, -144.5149704169844, -1.0130628328395999, -353.60661995957014
2201, -150.5005979487287, -0.561547045985097, -346.8018710876514
2301, -160.6815668327535, -0.3928202583472825, -246.95007788647177
2401, -189.58390373556023, -0.9551262366240542, -357.10541148418423
2501, -133.06196914209548, -0.8076738194679153, -344.1806813291892
2601, -161.3498371167065, -2.038609640097436, -350.3243896340213
2701, -144.07544140612046, -0.8304438679424349, -353.0674397803467
2801, -146.68401305678904, -1.7991785155441178, -539.1392127359545
2901, -162.96062212904727, -1.0292756743239408, -363.1345625978753
3001, -184.8689229818097, -115.90517841422862, -363.5223678131328
3101, -133.9796556828813, -2.361866591541023, -389.8876284131011
3201, -125.39314708935622, -1.6291214344779503, -237.47213226507372
3301, -131.8959344234734, -0.8956239475577191, -380.1613887974361
3401, -130.69084413712204, -0.9041480202966828, -361.35242175240444
3501, -143.62532911649797, -2.0245244633175576, -326.7141405308463
3601, -168.70289325887646, -0.5129065485813161, -351.5338436733738
3701, -108.42456033994674, -1.1543854555067454, -231.18453695476865
3801, -163.67647881627127, -0.6767767007812125, -337.1624935411152
3901, -189.80222753071925, -1.7333484379374644, -425.7097646642657
4001, -114.03028333282097, -2.00263762018264, -335.35429622784807
