Episode, avg_return, max_return, min_return
1, 9.4, 10.0, 8.0
101, 15.65, 22.0, 9.0
201, 43.05, 64.0, 35.0
301, 47.0, 166.0, 29.0
401, 117.15, 164.0, 103.0
501, 132.1, 162.0, 109.0
601, 132.45, 162.0, 111.0
701, 192.95, 230.0, 169.0
801, 248.65, 417.0, 179.0
901, 219.65, 369.0, 181.0
1001, 229.3, 282.0, 191.0
1101, 195.3, 500.0, 162.0
1201, 188.1, 234.0, 150.0
1301, 229.65, 261.0, 205.0
1401, 419.35, 500.0, 178.0
1501, 500.0, 500.0, 500.0
1601, 500.0, 500.0, 500.0
1701, 399.0, 500.0, 274.0
1801, 500.0, 500.0, 500.0
1901, 500.0, 500.0, 500.0
2001, 500.0, 500.0, 500.0
2101, 500.0, 500.0, 500.0
2201, 500.0, 500.0, 500.0
2301, 500.0, 500.0, 500.0
2401, 500.0, 500.0, 500.0
2501, 500.0, 500.0, 500.0
2601, 500.0, 500.0, 500.0
2701, 500.0, 500.0, 500.0
2801, 500.0, 500.0, 500.0
2901, 492.3, 500.0, 361.0
3001, 13.45, 15.0, 12.0
3101, 500.0, 500.0, 500.0
3201, 500.0, 500.0, 500.0
3301, 458.7, 500.0, 268.0
3401, 500.0, 500.0, 500.0
3501, 75.0, 301.0, 14.0
3601, 100.45, 110.0, 94.0
3701, 448.8, 500.0, 209.0
3801, 488.5, 500.0, 270.0
3901, 433.35, 500.0, 191.0
4001, 400.35, 425.0, 363.0
